Ref,Val,Package,PosX,PosY,Rot,Side
"J5","CN10","PinSocket_2x19_P2.54mm_Vertical",64.210000,50.760000,180.000000,bottom
"J6","CN7","PinSocket_2x19_P2.54mm_Vertical",3.250000,50.760000,180.000000,bottom
"B1","1042P","1042P_KEY",25.500000,-13.500000,0.000000,top
"C1","10uF","C_0805_2012Metric",50.500000,31.500000,0.000000,top
"C2","10uF","C_0805_2012Metric",50.500000,29.000000,0.000000,top
"C3","100n","C_0805_2012Metric",55.000000,26.000000,90.000000,top
"C4","10uF","C_0805_2012Metric",13.000000,22.500000,-90.000000,top
"C5","100n","C_0805_2012Metric",16.500000,22.300000,-90.000000,top
"C6","10uF","C_0805_2012Metric",50.500000,22.500000,0.000000,top
"C7","10uF","C_0805_2012Metric",29.500000,21.500000,-90.000000,top
"C8","100n","C_0805_2012Metric",33.000000,21.500000,-90.000000,top
"C9","10uF","C_0805_2012Metric",10.500000,19.000000,90.000000,top
"C10","4.7uF","C_0805_2012Metric",55.000000,18.000000,0.000000,top
"C11","4.7uF","C_0805_2012Metric",56.500000,15.000000,0.000000,top
"C12","10uF","C_0805_2012Metric",10.500000,14.000000,-90.000000,top
"D1","LED","LED_0805_2012Metric",58.500000,34.000000,90.000000,top
"D2","ESD9B3.3ST5G","D_SOD-923",21.100000,31.200000,180.000000,top
"D3","ESD9B3.3ST5G","D_SOD-923",38.500000,31.000000,180.000000,top
"D4","LED","LED_0805_2012Metric",42.500000,18.000000,180.000000,top
"H1","MountingHole","MountingHole_3.2mm_M3",10.870000,54.570000,0.000000,top
"H2","MountingHole","MountingHole_3.2mm_M3",59.130000,53.300000,0.000000,top
"H3","MountingHole","MountingHole_3.2mm_M3",43.890000,2.600000,0.000000,top
"J1","691210910002","691210910002",35.500000,42.000000,180.000000,top
"J2","61612002121503","61612002121503",18.960000,41.540000,0.000000,top
"J3","691210910002","691210910002",49.500000,39.800000,0.000000,top
"J4","629722010114","J_Wurth_WR-USB_629722050114",55.650000,9.170000,0.000000,top
"JP1","Jumper_3_Bridged12","SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm",11.000000,45.500000,90.000000,top
"L1","LPS3015-152MRC","IND_LPS3015-152MRC",46.500000,25.500000,-90.000000,top
"R1","10k","R_0805_2012Metric",13.920000,32.080000,90.000000,top
"R2","100R","R_0805_2012Metric",18.920000,32.167500,-90.000000,top
"R3","10k","R_0805_2012Metric",30.000000,32.000000,90.000000,top
"R4","100R","R_0805_2012Metric",35.500000,32.000000,-90.000000,top
"R5","470R","R_0805_2012Metric",58.500000,29.500000,90.000000,top
"R6","10R","R_0805_2012Metric",10.500000,26.500000,90.000000,top
"R7","330k","R_0805_2012Metric",13.920000,27.500000,-90.000000,top
"R8","10R","R_0805_2012Metric",26.000000,26.500000,90.000000,top
"R9","330k","R_0805_2012Metric",30.100000,26.900000,-90.000000,top
"R10","2.2k","R_0805_2012Metric",18.500000,18.912500,-90.000000,top
"R11","470R","R_0805_2012Metric",46.500000,18.000000,180.000000,top
"R12","2.2k","R_0805_2012Metric",16.000000,15.000000,180.000000,top
"R13","2k","R_0805_2012Metric",46.000000,15.500000,180.000000,top
"R14","5.1k","R_0805_2012Metric",48.700000,11.000000,90.000000,top
"R15","5.1k","R_0805_2012Metric",48.700000,7.000000,-90.000000,top
"TP_3.3V_reg1","TP_3.3V_reg","TestPoint_Keystone_5010-5014_Multipurpose",44.700000,38.800000,0.000000,top
"TP_ADC1","TP_ADC1","TestPoint_Keystone_5010-5014_Multipurpose",-2.100000,21.400000,0.000000,top
"TP_ADC2","TP_ADC2","TestPoint_Keystone_5010-5014_Multipurpose",-2.400000,14.400000,0.000000,top
"TP_GND1","TP_GND","TestPoint_Keystone_5010-5014_Multipurpose",-3.300000,5.200000,0.000000,top
"TP_VDD1","TP_VDD","TestPoint_Keystone_5010-5014_Multipurpose",-12.300000,5.200000,0.000000,top
"TP_V_USB1","TP_V_USB","TestPoint_Keystone_5010-5014_Multipurpose",54.400000,1.400000,0.000000,top
"U1","DM-OLED096-636","MODULE_DM-OLED096-636",-13.400000,39.410000,-90.000000,top
"U2","OPA333xxDBV","SOT-23-5",17.782500,26.630000,180.000000,top
"U3","OPA333xxDBV","SOT-23-5",34.362500,26.500000,180.000000,top
"U4","TPS63031DSK","WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm",50.712500,25.587500,0.000000,top
"U5","MCP73831-2-MC","DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm",51.075000,15.350000,180.000000,top
