Designator,Footprint,Quantity,Value,LCSC Part #
B1,1042P_KEY,1,1042P,
"C1, C12, C2, C4, C6, C7, C9",0805,7,10uF,
"C10, C11",0805,2,4.7uF,
"C3, C5, C8",0805,3,100n,
"D1, D4",0805,2,LED,
"D2, D3",D_SOD-923,2,ESD9B3.3ST5G,
"H1, H2, H3",MountingHole_3.2mm_M3,3,MountingHole,
"J1, J3",691210910002,2,691210910002,
J2,61612002121503,1,61612002121503,
J4,J_Wurth_WR-USB_629722050114,1,629722010114,
J5,PinSocket_2x19_P2.54mm_Vertical,1,CN10,
J6,PinSocket_2x19_P2.54mm_Vertical,1,CN7,
L1,IND_LPS3015-152MRC,1,LPS3015-152MRC,
"R1, R3",0805,2,10k,
"R10, R12",0805,2,2.2k,
"R11, R5",0805,2,470R,
R13,0805,1,2k,
"R14, R15",0805,2,5.1k,
"R2, R4",0805,2,100R,
"R6, R8",0805,2,10R,
"R7, R9",0805,2,330k,
TP_3.3V_REG1,TestPoint_Keystone_5010-5014_Multipurpose,1,TP_3.3V_reg,
TP_ADC1,TestPoint_Keystone_5010-5014_Multipurpose,1,TP_ADC1,
TP_ADC2,TestPoint_Keystone_5010-5014_Multipurpose,1,TP_ADC2,
TP_GND1,TestPoint_Keystone_5010-5014_Multipurpose,1,TP_GND,
TP_VDD1,TestPoint_Keystone_5010-5014_Multipurpose,1,TP_VDD,
TP_V_USB1,TestPoint_Keystone_5010-5014_Multipurpose,1,TP_V_USB,
U1,MODULE_DM-OLED096-636,1,DM-OLED096-636,
"U2, U3",SOT-23-5,2,OPA333xxDBV,
U4,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,1,TPS63031DSK,
U5,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,1,MCP73831-2-MC,
